Beleg,BelegURL,Datum,Kategorie,Adressat,Betrag,Saldo
K-83,,2019-04-05,SPENDE,*Datenschutz*,50,   -356.43
K-84,,2019-04-05,SPENDE,*Datenschutz*,50,   -306.43
K-85,,2019-04-05,SPENDE,*Datenschutz*,50,   -256.43
K-86,,2019-04-05,SPENDE,*Datenschutz*,50,   -206.43
K-87,,2019-04-05,SPENDE,*Datenschutz*,50,   -156.43
K-88,,2019-04-05,SPENDE,*Datenschutz*,50,   -106.43
K-89,,2019-04-05,SPENDE,*Datenschutz*,50,    -56.43
K-90,,2019-04-05,SPENDE,*Datenschutz*,200,    143.57
K-91,,2019-04-05,SPENDE,*Datenschutz*,50,    193.57
K-92,,2019-04-05,SPENDE,*Datenschutz*,50,    243.57
K-93,,2019-04-05,SPENDE,*Datenschutz*,200,    443.57
K-94,,2019-04-05,SPENDE,*Datenschutz*,50,    493.57
K-95,,2019-04-05,SPENDE,*Datenschutz*,50,    543.57
K-96,,2019-04-05,SPENDE,*Datenschutz*,50,    593.57
K-97,,2019-04-05,SPENDE,*Datenschutz*,100,    693.57
K-98,,2019-04-06,ANSCH,Cup Board physio,-383.12693498452,    310.44
K-99,,2019-04-06,ANSCH,physiotherapy cup boards,-143.575851393189,    166.87
K-100,,2019-04-06,PATIENT,Food for patients,-19.3498452012384,    147.52
K-101,,2019-04-06,PATIENT,Food for patients,-19.3498452012384,    128.17
K-102,,2019-04-07,PATIENT,Water for patients,-42.5696594427245,     85.60
K-103,,2019-04-07,PATIENT,Food for patients,-19.3498452012384,     66.25
K-104,,2019-04-07,PATIENT,Food for patients,-19.3498452012384,     46.90
K-105,,2019-04-07,REISE,Air Tanzania bags overload via Anke Arnold,-400,   -353.10
K-106,,2019-04-07,VISA,*Datenschutz*,-50,   -403.10
K-107,,2019-04-07,VISA,*Datenschutz*,-50,   -453.10
K-108,,2019-04-07,VISA,*Datenschutz*,-50,   -503.10
K-109,,2019-04-07,VISA,*Datenschutz*,-50,   -553.10
K-110,,2019-04-07,VISA,*Datenschutz*,-50,   -603.10
K-111,,2019-04-07,VISA,*Datenschutz*,-50,   -653.10
K-112,,2019-04-07,VISA,*Datenschutz*,-50,   -703.10
K-113,,2019-04-07,VISA,*Datenschutz*,-50,   -753.10
K-114,,2019-04-07,VISA,*Datenschutz*,-50,   -803.10
K-115,,2019-04-07,VISA,*Datenschutz*,-350,  -1153.10
K-116,,2019-04-08,MAT,bandages,-270.897832817337,  -1424.00
K-117,,2019-04-08,PATIENT,Food for patients,-19.3498452012384,  -1443.35
K-118,,2019-04-08,PATIENT,Food for patients,-19.3498452012384,  -1462.70
K-119,,2019-04-09,PATIENT,Water for patients,-42.5696594427245,  -1505.27
K-120,,2019-04-09,PATIENT,Food for patients,-19.3498452012384,  -1524.62
K-121,,2019-04-09,PATIENT,Food for patients,-19.3498452012384,  -1543.97
K-122,,2019-04-10,PATIENT,Food & Beverages for OT,-982.004643962848,  -2525.97
K-123,,2019-04-10,SPENDE,*Datenschutz*,1500,  -1025.97
K-124,,2019-04-10,MAT,replacement lights,-9.6749226006192,  -1035.65
K-125,,2019-04-10,PATIENT,food & Beverages for OT,-865.905572755418,  -1901.55
K-126,,2019-04-10,PATIENT,Food for patients,-19.3498452012384,  -1920.90
K-127,,2019-04-10,PATIENT,Food for patients,-19.3498452012384,  -1940.25
K-128,,2019-04-11,PATIENT,Water for patients,-42.5696594427245,  -1982.82
K-129,,2019-04-11,MAT,Amoxicillin / pop cast,-274.767801857585,  -2257.59
K-130,,2019-04-11,PATIENT,Food for patients,-19.3498452012384,  -2276.94
K-131,,2019-04-11,PATIENT,Food for patients,-19.3498452012384,  -2296.29
K-132,,2019-04-12,PATIENT,Food for patients,-19.3498452012384,  -2315.64
K-133,,2019-04-12,PATIENT,Food for patients,-19.3498452012384,  -2334.99
K-134,,2019-04-13,PATIENT,Water for patients,-42.5696594427245,  -2377.56
K-135,,2019-04-13,PATIENT,Food for patients,-19.3498452012384,  -2396.91
K-136,,2019-04-13,PATIENT,Food for patients,-19.3498452012384,  -2416.26
K-137,,2019-04-14,PATIENT,Food for patients,-19.3498452012384,  -2435.61
K-138,,2019-04-14,PATIENT,Food for patients,-19.3498452012384,  -2454.96
K-139,,2019-04-15,PATIENT,Water for patients,-42.5696594427245,  -2497.53
K-140,,2019-04-15,PATIENT,Food for patients,-19.3498452012384,  -2516.88
K-141,,2019-04-15,PATIENT,Food for patients,-19.3498452012384,  -2536.23
K-142,,2019-04-16,MAT,Hand Gloves,-29.0247678018576,  -2565.25
K-143,,2019-04-16,REISE,Diesel,-36.7647058823529,  -2602.02
K-144,,2019-04-16,REISE,Diesel,-87.8482972136223,  -2689.87
K-145,,2019-04-16,REISE,Diesel,-44.5046439628483,  -2734.37
K-146,,2019-04-16,REISE,Diesel,-58.0495356037152,  -2792.42
K-147,,2019-04-16,UNTERB,Farewell dinner for 32 persons,-285.603715170279,  -3078.02
K-148,,2019-04-16,PATIENT,Food for patients,-19.3498452012384,  -3097.37
K-149,,2019-04-16,PATIENT,Food for patients,-19.3498452012384,  -3116.72
K-150,,2019-04-17,PATIENT,Water for patients,-42.5696594427245,  -3159.29
K-151,,2019-04-17,PATIENT,Food & Beverages for OT,-1818.88544891641,  -4978.18
K-152,,2019-04-17,PATIENT,Food for patients,-19.3498452012384,  -4997.53
K-153,,2019-04-17,PATIENT,Food for patients,-19.3498452012384,  -5016.88
K-154,,2019-04-18,PATIENT,Food for patients,-19.3498452012384,  -5036.23
K-155,,2019-04-18,PATIENT,Food for patients,-19.3498452012384,  -5055.58
K-156,,2019-04-18,SPENDE,*Datenschutz*,1500,  -3555.58
K-157,,2019-04-19,MAT,Cleaning material OT,-18.5758513931889,  -3574.15
K-158,,2019-04-20,SPENDE,*Datenschutz*,100,  -3474.15
K-159,,2019-04-20,SPENDE,*Datenschutz*,100,  -3374.15
K-160,,2019-04-20,SPENDE,*Datenschutz*,50,  -3324.15
K-161,,2019-04-20,SPENDE,*Datenschutz*,50,  -3274.15
K-162,,2019-04-20,SPENDE,*Datenschutz*,50,  -3224.15
K-163,,2019-04-20,SPENDE,*Datenschutz*,50,  -3174.15
K-164,,2019-04-20,SPENDE,*Datenschutz*,50,  -3124.15
K-165,,2019-04-20,SPENDE,*Datenschutz*,50,  -3074.15
K-166,,2019-04-20,SPENDE,*Datenschutz*,50,  -3024.15
K-167,,2019-04-20,SPENDE,*Datenschutz*,50,  -2974.15
K-168,,2019-04-20,REISE,Bus Transfer Sumbawanga - Meya,-328.947368421053,  -3303.10
K-169,,2019-04-24,ABSCHLAG,Compensation plan Dr. Jipemba,-116.09907120743,  -3419.20
K-170,,2019-04-21,PATIENT,Übernahme Kosten für Amputation und Unterkunft und Verpflegung im Mbalisi Hospital für Martin Edward,-250,  -3669.20
K-171,,2019-04-20,SPENDE,*Datenschutz*,148,  -3521.20
K-172,,2019-04-22,SPENDE,*Datenschutz*,669.2,  -2852.00
K-173,,2019-04-22,BUCHH,Übergewicht / Visa-Gebühren / Taxi Mbeya- Sumbawanga,600,  -2252.00
K-174,,2019-04-22,SONST,Medikamente Dr. Jipemba,-600,  -2852.00
K-175,,2019-05-02,SONST,Umbuchung von Bank für Sozialwirtschaft Auslagenerstattung,2852,     -0.00
K-176,,2019-06-01,SONST,Parkhausgebühr Willy Heckelei für Vortrag bei Kindenchirurgen über Sumbawanga in Trier,-90,    -90.00
K-177,,2019-06-01,SONST,Tagungsgebühr Willy Heckelei für Vortrag bei Kindenchirurgen über Sumbawanga in Trier,-10.2,   -100.20
K-178,,2019-06-01,SPENDE,*Datenschutz*,-72.44,   -172.64
K-179,,2019-06-01,BUCHH,Benzinkosten Willy Heckelei für Vortrag bei Kindenchirurgen über Sumbawanga in Trier,-42.04,   -214.68
K-180,,2019-06-01,SPENDE,*Datenschutz*,210,     -4.68
K-181,,2019-06-01,SPENDE,*Datenschutz*,4.68,     -0.00
K-182,,2019-08-14,SPENDE,*Datenschutz*,500,    500.00
K-183,,2019-08-15,REISE,Ticket DB Dresden - Frankfurt,-58,    442.00
K-184,,2019-08-16,VISA,*Datenschutz*,-50,    392.00
K-185,,2019-08-16,UNTERB,Übernachtung Strotkötter Kurasini Dar-es-Salaam,-20,    372.00
K-186,,2019-08-23,MAT,2 Höllensteinstifte,-6.33,    365.67
K-187,,2019-08-27,PATIENT,Röntgen Pat. Chaiass,-7.92,    357.75
K-188,,2019-08-27,PATIENT,Röntgen Pat. Lauerk,-7.92,    349.83
K-189,,2019-08-28,PATIENT,Food & Beverages ,-150,    199.83
K-190,,2019-08-28,VISA,*Datenschutz*,-150,     49.83
K-191,,2019-08-28,ENTW,Dr. Jipemba compensation for training,-100,    -50.17
K-192,,2019-08-28,MAT,Verbandsstoffe / Handschuhe ,-389.08,   -439.25
K-193,,2019-08-30,REISE,Ticket DB Frankfurt - Dresden,-60.75,   -500.00
K-194,,2019-08-31,BUCHH,Ausgleich Barkasse,500,     -0.00
K-195,,2019-09-01,PATIENT,Plattenosteosynthese im Mbalisi Hospital für mama Gilles,-193.423597678917,   -193.42
K-196,,2019-09-06,BUCHH,Bankspesen,-11.605415860735,   -205.03
K-197,,2019-09-06,REISE,Francis Ndaga - Permits Tosamaganga - Fahrt nach Dodoma,-193.423597678917,   -398.45
K-198,,2019-09-06,BUCHH,Bankspesen,-11.605415860735,   -410.06
K-199,,2019-09-06,MAT,Dr. Jipemba - Medical Devices und Drugs,-249.516441005803,   -659.57
K-200,,2019-09-09,BUCHH,Umbuchung von Bank für Sozialwirtschaft ,500,   -159.57
K-201,,2019-09-09,SONST,Telefonkosten,-100,   -259.57
K-202,,2019-09-09,TRANS,Portokosten August ,-100,   -359.57
K-203,,2019-09-09,VISA,*Datenschutz*,-100,   -459.57
K-204,,2019-09-12,BUCHH,Umbuchung von 144601 für Barkasse,1500,   1040.43
K-205,,2019-09-16,TRANS,Übergewicht,-21.6634429400387,   1018.76
K-206,,2019-09-17,MAT,Povidone / Bandagen / Desinfektionslösung,-195.357833655706,    823.40
K-207,,2019-09-17,SONST,Reifen Defekt,-38.6847195357834,    784.72
K-208,,2019-09-17,MAT,Handdesinfektionsmittel,-19.3423597678917,    765.38
K-209,,2019-09-19,MAT,Medikamente Vitus,-10.2514506769826,    755.13
K-210,,2019-09-19,MAT,Medikamente Justina,-10.2514506769826,    744.87
K-211,,2019-09-20,PATIENT,Physiotherapie mit Hausbesuch bei Querschnittsgelähmten Patienten,-77.3694390715667,    667.50
K-212,,2019-09-20,PATIENT,Verpflegung für 2 Verbrennungskinder,-77.3694390715667,    590.14
K-213,,2019-09-21,REISE,Besuch der dispensary in Mwimva,-38.6847195357834,    551.45
K-214,,2019-09-23,MAT,Bandagen,-30.7543520309478,    520.70
K-215,,2019-09-25,PATIENT,Medikamente für 5 Verbrennungskinder,-96.7117988394584,    423.98
K-216,,2019-09-25,UNTERB,Accommodation Mbeya incl. Fahrer,-48.742746615087,    375.24
K-217,,2019-09-25,UNTERB,Accommodation Sumbawanga,-116.05415860735,    259.19
K-218,,2019-09-25,REISE,Francis Ndaga - Permits Team Wetter - Fahrt nach Dodoma,-193.423597678917,     65.76
K-219,,2019-09-25,REISE,Francis Ndaga - Permits camp22 - Fahrt nach Dodoma,-193.423597678917,   -127.66
K-220,,2019-09-26,SPENDE,*Datenschutz*,450,    322.34
K-221,,2019-09-30,SONST,Internet Sumbawanga,-48.3558994197292,    273.98
K-222,,2019-09-30,SONST,Telefonkosten,-185.68665377176,     88.30
